end,use_time,slon,slat,match_name,lon,lat
上海浦东,01小时45分钟,114.310176,30.590076,上海市浦东新区,121.54006318712729,31.223605658515723
昆明,02小时10分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
银川,02小时20分钟,114.310176,30.590076,宁夏回族自治区银川市,106.22657808588562,38.48732343474717
温州,01小时35分钟,114.310176,30.590076,浙江省温州市,120.69522094158627,27.997131227693032
银川,02小时10分钟,114.310176,30.590076,宁夏回族自治区银川市,106.22657808588562,38.48732343474717
嘉峪关,05小时10分钟,114.310176,30.590076,甘肃省嘉峪关市,98.28760243695947,39.77241879818138
深圳,01小时50分钟,114.310176,30.590076,广东省深圳市,114.05282492812273,22.54624408786885
温州,01小时25分钟,114.310176,30.590076,浙江省温州市,120.69522094158627,27.997131227693032
厦门,01小时45分钟,114.310176,30.590076,福建省厦门市,118.0839329117508,24.48227393692977
成都天府,02小时15分钟,114.310176,30.590076,四川省成都市天府,104.05956185955627,30.54989873855247
北京首都,01小时50分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
拉萨,04小时20分钟,114.310176,30.590076,西藏自治区拉萨市,91.17045622059155,29.656279830484728
沈阳,02小时50分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
青岛,02小时15分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
珠海,02小时00分钟,114.310176,30.590076,广东省珠海市,113.57185315944909,22.27465990841014
兰州,02小时30分钟,114.310176,30.590076,甘肃省兰州市,103.83182475519547,36.06112521284291
西宁,02小时30分钟,114.310176,30.590076,青海省西宁市,101.77586195007572,36.616702529818106
哈尔滨,04小时55分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
上海虹桥,01小时30分钟,114.310176,30.590076,上海市长宁区虹桥,121.40763275839589,31.204188655606025
青岛,02小时00分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
长治,01小时30分钟,114.310176,30.590076,山西省长治市,113.11073000351433,36.19497616579607
呼和浩特,01小时55分钟,114.310176,30.590076,内蒙古自治区呼和浩特市,111.74189606013923,40.840680164379705
福州,01小时45分钟,114.310176,30.590076,福建省福州市,119.2916113725977,26.077388015749776
泉州,01小时40分钟,114.310176,30.590076,福建省泉州市,118.67117718480827,24.87736027375492
沈阳,02小时35分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
恩施,01小时15分钟,114.310176,30.590076,湖北省恩施土家族苗族自治州,109.48320599735897,30.274672845187926
北京大兴,02小时10分钟,114.310176,30.590076,北京市大兴区,116.33534122137306,39.72559391206863
福州,01小时40分钟,114.310176,30.590076,福建省福州市,119.2916113725977,26.077388015749776
杭州,01小时25分钟,114.310176,30.590076,浙江省杭州市,120.20625703859051,30.24845422387178
哈尔滨,03小时10分钟,114.310176,30.590076,黑龙江省哈尔滨市,126.52900996557615,45.80099935600745
珠海,01小时50分钟,114.310176,30.590076,广东省珠海市,113.57185315944909,22.27465990841014
大连,02小时15分钟,114.310176,30.590076,辽宁省大连市,121.60984265800761,38.913184694859616
成都,02小时00分钟,114.310176,30.590076,四川省成都市,104.06379643064969,30.575415504297645
乌鲁木齐,04小时35分钟,114.310176,30.590076,新疆维吾尔自治区乌鲁木齐市,87.61397403729367,43.824171459621404
昆明,02小时40分钟,114.310176,30.590076,云南省昆明市,102.83225390018312,24.884560505120767
西双版纳,03小时00分钟,114.310176,30.590076,云南省西双版纳傣族自治州,100.7958783567845,22.011896951399425
海口,03小时55分钟,114.310176,30.590076,海南省海口市,110.19412309482485,20.047918126783042
沈阳,03小时00分钟,114.310176,30.590076,辽宁省沈阳市,123.45863090829103,41.675224005527134
香港,02小时45分钟,114.310176,30.590076,香港特别行政区,114.16839862410322,22.32280485943514
呼和浩特,02小时15分钟,114.310176,30.590076,内蒙古自治区呼和浩特市,111.74189606013923,40.840680164379705
青岛,02小时10分钟,114.310176,30.590076,山东省青岛市,120.3775319120476,36.06666175631177
北京首都,02小时15分钟,114.310176,30.590076,北京市,116.40114474433395,39.90277565497976
南宁,02小时00分钟,114.310176,30.590076,广西壮族自治区南宁市,108.36233557216124,22.820386111708903
泸州,02小时20分钟,114.310176,30.590076,四川省泸州市,105.43827413075415,28.87401763673905
